stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
34,1,4.0,37.63074489999963,,37.60738700000002,37.63074489999963,38.12159109999993,38.12159109999993,38.13655839999956,38.437059100000624,38.57140260000051,left,-4.0,1,1,0.4418380999995861,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
35,1,3.0,38.58762000000024,,38.57159309999952,38.58762000000024,39.0816616000011,39.0816616000011,39.10336840000127,39.38302140000087,39.80555070000082,left,-3.0,1,1,0.7151292999988073,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
36,1,3.0,39.81841320000058,,39.80571080000118,39.81841320000058,40.32056519999969,40.32056519999969,40.32056519999969,40.63516069999969,40.73639820000062,right,3.0,1,1,0.40456709999853047,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
37,1,3.0,40.75233570000091,,40.73653039999954,40.75233570000091,41.235340900000665,41.235340900000665,41.252255700001115,41.55074960000093,41.786957899999834,left,-3.0,1,1,0.5329109000012977,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
38,1,2.0,41.8000518000008,,41.78709239999989,41.8000518000008,42.300155000000814,42.300155000000814,42.300155000000814,42.599923699999636,43.01919000000089,left,-2.0,1,1,0.7093517999983305,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
39,1,2.0,43.042613300000085,,43.01932140000099,43.042613300000085,43.53363360000003,43.53363360000003,43.54939139999988,43.84871999999996,44.249930300000415,left,-2.0,1,1,0.7130371000002924,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
40,1,2.0,44.265830300000744,,44.25006140000005,44.265830300000744,44.76420180000059,44.76420180000059,44.76420180000059,45.06383910000113,45.4508564000007,left,-2.0,1,1,0.6792380999995657,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
41,0.5,1.0,45.47332129999995,,45.45099020000089,45.47332129999995,45.96431240000129,45.96431240000129,45.97988590000023,46.279346299999816,47.064907300000414,left,-1.0,0,0,1.0823659999987285,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
42,0.5,1.5,47.07853480000085,,47.06504270000005,47.07853480000085,47.577945799999725,47.577945799999725,47.577945799999725,47.877811700000166,48.146370300000854,left,-1.5,1,1,0.5552401000004465,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
43,0.5,1.5,48.16259530000025,,48.146553599999606,48.16259530000025,48.66225620000114,48.66225620000114,48.677657199999885,48.97679810000045,49.329527300000336,left,-1.5,1,1,0.664103499999328,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
44,0.5,1.5,49.34290770000007,,49.32966370000031,49.34290770000007,49.84287670000049,49.84287670000049,49.84287670000049,50.14260500000091,50.676645200001076,right,1.5,1,1,0.8205725999996503,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
45,0.5,1.0,50.69324120000056,,50.67678379999961,50.69324120000056,51.175332400000116,51.175332400000116,51.20841490000021,51.47461790000125,52.1760962999997,right,1.0,1,1,0.9942903999999544,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
46,0.5,1.0,52.192009600001256,,52.17622990000018,52.192009600001256,52.69197359999998,52.69197359999998,52.70681030000014,53.00635429999966,53.34096920000047,right,1.0,1,1,0.6370917000003828,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
47,0.5,1.0,53.35703959999955,,53.3411372999999,53.35703959999955,53.856581500000175,53.856581500000175,53.872376400000576,54.15706429999955,55.27366989999973,right,1.0,1,1,1.4134457999989536,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
48,0.5,0.5,55.289494800001194,,55.27380869999979,55.289494800001194,55.788889800000106,55.788889800000106,55.80666680000104,56.10408110000026,56.43982340000002,left,-0.5,0,0,0.6415067999987514,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
49,0.5,1.0,56.45344210000076,,56.43996490000063,56.45344210000076,56.95230790000096,56.95230790000096,56.95230790000096,57.25320749999992,58.15760290000071,left,-1.0,0,0,1.1889159999991534,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
50,0.5,1.5,58.17849130000104,,58.15783180000108,58.17849130000104,58.66809889999968,58.66809889999968,58.686359999999695,58.967488700000104,59.420317300000534,left,-1.5,0,0,0.7400388000005478,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
51,0.5,2.0,59.44352509999953,,59.420498999999836,59.44352509999953,59.93539109999983,59.93539109999983,59.95041710000078,60.24988610000037,60.3846709999998,right,2.0,1,1,0.44564379999974335,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
52,0.5,2.0,60.40118470000016,,60.38480309999977,60.40118470000016,60.900473100000454,60.900473100000454,60.915333799999644,61.21561980000115,61.70159080000121,right,2.0,1,1,0.7864699000001565,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
53,0.5,2.0,61.72494150000057,,61.70172590000038,61.72494150000057,62.21654169999965,62.21654169999965,62.231558999999834,62.5306015999995,62.65031369999997,right,2.0,1,1,0.4160630000005767,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
54,0.5,1.5,62.664054300001226,,62.65045060000011,62.664054300001226,63.163747200000216,63.163747200000216,63.163747200000216,63.46319059999951,63.7988064000001,left,-1.5,1,1,0.6269731999982469,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
55,0.5,1.5,63.81444100000044,,63.79895810000016,63.81444100000044,64.31329180000102,64.31329180000102,64.31329180000102,64.6123260000004,65.3802979000011,right,1.5,1,1,1.0629318000010244,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
56,0.5,1.5,65.39559910000025,,65.38046399999985,65.39559910000025,65.8961685000013,65.8961685000013,65.91096330000073,66.21098920000077,66.57899999999972,right,1.5,1,1,0.679303599999912,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
