delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,20,8,248,10,1067.39728249982,,1067.3856283000205,1067.39728249982,1068.3962776998524,1068.3962776998524,1068.3962776998524,1068.6646546998527,space,0.2662996998988092,None,1068.66541399993,1069.078776366605,1069.4012404000387,1069.3782565998845,1069.3783054000232,1069.4012404000387,1069.4012404000387,1069.4012404000387,1070.6461704999674,400,1,[1.264954400015995],[1.264974500052631],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,20,9,249,8,1070.6605207999237,,1070.6477685999125,1070.6605207999237,1071.6598149000201,1071.6598149000201,1071.6598149000201,1072.0277221000288,space,0.3508018001448363,None,1072.0286268999334,1072.7420645666464,1073.0584527999163,1073.0373767998535,1073.0374221999664,1073.0584527999163,1073.0584527999163,1073.0584527999163,1075.1602821999695,400,1,[2.1203059998806566],[2.120319199981168],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,20,10,250,3,1075.1728923998307,,1075.1626366998535,1075.1728923998307,1076.1720628999174,1076.1720628999174,1076.1720628999174,1076.5400211999658,space,0.3523985999636352,None,1076.540890299948,1076.654905566542,1076.9779832998756,1076.9569637998939,1076.957006599987,1076.9779832998756,1076.9779832998756,1076.9779832998756,1078.255638499977,400,1,[1.296109100105241],[1.2961222000885755],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,400,unexp,20,11,251,2,1078.2700039998163,,1078.2575641998556,1078.2700039998163,1079.2693419000134,1079.2693419000134,1079.2693419000134,1079.8874627000187,space,0.6136896999087185,None,1079.888616599841,1080.6013544665805,1080.9179989998229,1080.8975396000315,1080.8975910998415,1080.9179989998229,1080.9179989998229,1080.9179989998229,1082.0516329000238,300,1,[1.151413599960506],[1.1514290999621153],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,400,unexp,21,0,252,0,1082.0664584999904,,1082.053891299991,1082.0664584999904,1083.0654894998297,1083.0654894998297,1083.0654894998297,1083.4505666999612,space,0.3780025001615286,None,1083.451476499904,1083.5650823666404,1083.8906354999635,1083.8677582999226,1083.867806199938,1083.8906354999635,1083.8906354999635,1083.8906354999635,1084.9331425998826,400,1,[1.0625468001235276],[1.0625611001159996],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,21,1,253,3,1084.9471473998856,,1084.934892799938,1084.9471473998856,1085.9466385999694,1085.9466385999694,1085.9466385999694,1086.2645910999272,space,0.3151336000300944,None,1086.2653822998982,1086.3791401666278,1086.6983727999032,1086.6779250998516,1086.6779767000116,1086.6983727999032,1086.6983727999032,1086.6983727999032,1088.4621850999538,300,1,[1.7815018000546843],[1.7815161999315023],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,21,2,254,4,1088.4772175999824,,1088.4646669998765,1088.4772175999824,1089.476298399968,1089.476298399968,1089.476298399968,1089.6603512000293,space,0.18106329999864101,None,1089.66104229982,1090.0756684665723,1090.3877296999563,1090.3765602000058,1090.376580499811,1090.3877296999563,1090.3877296999563,1090.3877296999563,1092.8412944998126,300,1,[2.4631384999956936],[2.463147100061178],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,21,3,255,9,1092.856135000009,,1092.8428249999415,1092.856135000009,1093.8557197998744,1093.8557197998744,1093.8557197998744,1094.4904169999063,space,0.6231563000474125,None,1094.4914120999165,1094.6050447666241,1094.928713500034,1094.9070180000272,1094.9070615998935,1094.928713500034,1094.928713500034,1094.928713500034,1096.4556046000216,400,1,[1.5458550001494586],[1.5458678000140935],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,400,unexp,21,4,256,1,1096.4696420999244,,1096.457847799873,1096.4696420999244,1097.468905299902,1097.468905299902,1097.468905299902,1097.7537612998858,space,0.2684548001270741,None,1097.754708699882,1098.1684063666655,1098.4930578998756,1098.4677595000248,1098.4678022000007,1098.4930578998756,1098.4930578998756,1098.4930578998756,1101.2844696999528,700,1,[2.8132265999447554],[2.813245699973777],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,400,unexp,21,5,257,2,1101.2989216998685,,1101.2865050998516,1101.2989216998685,1102.2980964998715,1102.2980964998715,1102.2980964998715,1102.3992892999668,space,0.09549560002051294,None,1102.4001143998466,1103.113522066564,1103.4411005999427,1103.4177492000163,1103.4177901998628,1103.4411005999427,1103.4411005999427,1103.4411005999427,1105.5478709999006,400,1,[2.122426599962637],[2.1224506001453847],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
