reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,7,5,54,1,110.65625640004873,,110.64108650013804,110.65625640004873,111.65533199999481,111.65533199999481,111.67120880028233,112.25631619989872,l,0.5944365998730063,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,7,6,55,0,112.2706148000434,,112.25682030012831,112.2706148000434,113.26990010030568,113.26990010030568,113.26990010030568,113.97066550003365,l,0.684279799927026,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,8,0,56,1,113.98623730009422,,113.97120170015842,113.98623730009422,114.98540360014886,114.98540360014886,115.00172480009496,116.28551199985668,l,1.2895972998812795,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,8,1,57,2,116.30039509991184,,116.28600879991427,116.30039509991184,117.29946340015158,117.29946340015158,117.29946340015158,118.15086610009894,l,0.8442694996483624,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,8,2,58,4,118.16536149987951,,118.1513542002067,118.16536149987951,119.16501870006323,119.16501870006323,119.16501870006323,119.68408819986507,t,0.5134358000941575,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,8,3,59,6,119.69755150005221,,119.68474020017311,119.69755150005221,120.69688499998301,120.69688499998301,120.69688499998301,121.54843960003927,t,0.8460160000249743,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,8,4,60,5,121.56242620013654,,121.54912720015272,121.56242620013654,122.56158989993855,122.56158989993855,122.56158989993855,123.11374530009925,t,0.5431551998481154,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,8,5,61,3,123.12761919992045,,123.11439889995381,123.12761919992045,124.12697160011157,124.12697160011157,124.12697160011157,124.87774199992418,t,0.7435386003926396,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,8,6,62,0,124.89227529987693,,124.87821140000597,124.89227529987693,125.89147000014782,125.89147000014782,125.89147000014782,126.52528900001198,l,0.6175994998775423,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,9,0,63,6,126.5412987000309,,126.5257597998716,126.5412987000309,127.54052889999002,127.54052889999002,127.55690339999273,128.0414840001613,t,0.49414659989997745,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,9,1,64,5,128.05600310023874,,128.04201810015365,128.05600310023874,129.0551812001504,129.0551812001504,129.0551812001504,129.78964350000024,t,0.7273891000077128,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,9,2,65,2,129.8049373002723,,129.7902607000433,129.8049373002723,130.8040899001062,130.8040899001062,130.82014580024406,131.85340909985825,l,1.0347597999498248,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,9,3,66,1,131.86958190007135,,131.85392290027812,131.86958190007135,132.86873120022938,132.86873120022938,132.88519120030105,133.66965240007266,l,0.7945035002194345,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,9,4,67,4,133.6841160999611,,133.6701660999097,133.6841160999611,134.68379849987105,134.68379849987105,134.68379849987105,135.26782769989222,t,0.566952099557966,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,9,5,68,0,135.2829611999914,,135.26848019985482,135.2829611999914,136.2819075002335,136.2819075002335,136.2819075002335,136.96635999996215,l,0.6739547997713089,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,9,6,69,3,136.98100459994748,,136.9668816998601,136.98100459994748,137.98071289993823,137.98071289993823,137.98071289993823,138.68115899991244,t,0.6889766999520361,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,10,0,70,5,138.6971283000894,,138.68185220006853,138.6971283000894,139.69682150008157,139.69682150008157,139.71256170002744,140.38052170025185,t,0.678914500400424,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,10,1,71,3,140.39546489994973,,140.38123509986326,140.39546489994973,141.39503569994122,141.39503569994122,141.41120940027758,142.01171590015292,t,0.6007611001841724,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
