trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
104,0,104,0,188.42991629999597,,188.39988509996329,5,188.42991629999597,188.42991629999597,0.02029040001798421,190.06127850001212,[-0.2740740740740741],[-0.03425925925925926],[1],[0],[0],[1.6412440999993123],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
105,0,105,0,190.1043577999808,,190.0669606999727,5,190.1043577999808,190.1043577999808,0.029401499952655286,191.8263769999612,[-0.3277777777777778],[0.3685185185185185],[1],[0],[0],[1.7305116000352427],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
106,0,106,0,191.90411429997766,,191.83242069999687,10,191.90411429997766,191.90411429997766,0.05875419999938458,194.31416090001585,[0.30277777777777776],[0.4601851851851852],[1],[0],[0],[2.4237303000409156],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
107,0,107,0,194.34430040000007,,194.31794639996951,5,194.34430040000007,194.34430040000007,0.018064199946820736,195.70627929997863,[-0.22777777777777777],[0.1787037037037037],[1],[0],[0],[1.3704013000242412],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
108,0,108,0,195.78467299998738,,195.71361849998357,10,195.78467299998738,195.78467299998738,0.05855989997508004,197.18775139999343,[0.03425925925925926],[0.3768518518518518],[1],[0],[0],[1.4164254000061192],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
109,0,109,0,197.24238459998742,,197.19184879999375,10,197.24238459998742,197.24238459998742,0.037490000016987324,198.83572360000107,[0.19444444444444445],[-0.07314814814814814],[1],[0],[0],[1.6067460000049323],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
110,0,110,0,198.88944040000206,,198.8396429999848,10,198.88944040000206,198.88944040000206,0.0368101000203751,200.76716549997218,[0.4787037037037037],[0.4361111111111111],[1],[0],[0],[1.891157199977897],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
111,0,111,0,200.8013465999975,,200.7714219999616,5,200.8013465999975,200.8013465999975,0.020270899985916913,202.5665334999794,[0.09074074074074075],[-0.07962962962962963],[1],[0],[0],[1.7750059999525547],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
112,0,112,0,202.65237209998304,,202.57277500000782,10,202.65237209998304,202.65237209998304,0.06011170003330335,204.73024379997514,[-0.4462962962962963],[-0.2935185185185185],[1],[0],[0],[2.098234000033699],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
113,0,113,0,204.79233399999794,,204.7343731999863,10,204.79233399999794,204.79233399999794,0.041897599992807955,206.6289737999905,[0.48055555555555557],[0.04722222222222222],[1],[0],[0],[1.8528973999782465],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
